Method,URL Path,File,purpose,internal/external,Audited
GET,/,routes/public-api.js,REST API,external,No
POST,/,routes/public-api.js,REST API,external,No
GET,/.well-known/apple-app-site-association,app-server.js,server-server communication,external,No
GET,/_ks_/,routes/KitchenSync.js,server-server communication,internal,No
POST,/_ks_/,routes/KitchenSync.js,server-server communication,internal,No
POST,/_ks_/cron-delete-old-msgs,routes/KitchenSync.js,server-server communication,internal,No
POST,/_ks_/x-hny,routes/KitchenSync.js,server-server communication,internal,No
GET,/_ks_/x-rtsl/,routes/KitchenSync.js,server-server communication,internal,No
GET,/_ks_/x-rtsl/:teamName,routes/KitchenSync.js,server-server communication,internal,No
GET,/_ks_/x-sfusl/,routes/KitchenSync.js,server-server communication,internal,No
GET,/_ks_/x-sfusl/:optGroup,routes/KitchenSync.js,server-server communication,internal,No
GET,/_ks_/x-swsl/:optGroupAndWorker,routes/KitchenSync.js,server-server communication,internal,No
GET,/a,app-server.js,server-server communication,external,No
GET,/boxes/:serial,routes/boxes.js,,,No
POST,/boxes/:serial,routes/boxes.js,,,No
GET,/boxes/:serial/presence/:adminKey,routes/boxes.js,,,No
GET,/boxes/:serial/reboot/:adminKey,routes/boxes.js,,,No
GET,/chatmessages/messages/:roomId/:lastSeenMessageId,routes/chatmessages.js,REST API,,No
POST,/chatmessages/new-message/:roomId/:userId,routes/chatmessages.js,REST API,,No
GET,/dashboard,app-server.js,,external,No
POST,/delete-exp-rooms,routes/public-api.js,cron,,No
POST,/delete-old-logs,routes/public-api.js,cron,,No
GET,/dial-in/:mtgStr/transfer.xml,routes/dial-in.js,,,No
GET,/dial-in/conference.xml,routes/dial-in.js,,,No
GET,/dial-in/device-conference.xml,routes/dial-in.js,,,No
GET,/dial-in/event,routes/dial-in.js,,,No
GET,/dial-in/initial-answer.xml,routes/dial-in.js,,,No
GET,/dial-in/reject.xml,routes/dial-in.js,,,No
GET,/dial-out/:mtg_str/:phone_number,app-server.js,,,No
GET,/domains/:domain,routes/domains.js,dashboard,internal,No
POST,/domains/:domain/hold,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/logs,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/logs/:log,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/logs/counts,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/meetings,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/meetings/:meetingId,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/meetings/:meetingId/:participantId,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/meetings/:meetingId/:participantId/metrics,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/recordings,routes/domains.js,dashboard,internal,No
POST,/domains/:domain/room,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/room/:room,routes/domains.js,dashboard,internal,No
DELETE,/domains/:domain/room/:room,routes/domains.js,dashboard,internal,No
GET,/domains/:domain/search,routes/domains.js,dashboard,internal,No
GET,/domains/by-name/:domainName,routes/domains.js,dashboard,internal,No
POST,/domains/by-name/:domainName,routes/domains.js,dashboard,internal,No
POST,/domains/by-name/:domainName/meetings,routes/domains.js,dashboard,internal,No
POST,/domains/by-name/:domainName/room,routes/domains.js,dashboard,internal,No
DELETE,/domains/by-name/:domainName/room/:room,routes/domains.js,dashboard,internal,No
POST,/domains/by-name/:domainName/room/:room,routes/domains.js,dashboard,internal,No
DELETE,/domains/by-name/:domainName/user/:email,routes/domains.js,dashboard,internal,No
POST,/domains/check,routes/domains.js,dashboard,internal,No
POST,/domains/claim,routes/domains.js,dashboard,internal,No
POST,/domains/instant-room,routes/domains.js,dashboard,internal,No
GET,/domains/member,routes/domains.js,dashboard,internal,No
PUT,/domains/room/:room,routes/domains.js,dashboard,internal,No
POST,/echo-args,routes/public-api.js,REST API,external,No
GET,/favicon.ico,app-server.js,,,No
GET,/geo/:userId,app-server.js,server-server communication,internal,No
POST,/intercom/alert,routes/intercom.js,,,No
POST,/intercom/app-configure,routes/intercom.js,,,No
POST,/intercom/app-initialize,routes/intercom.js,,,No
GET,/intercom/app-install,routes/intercom.js,,,No
POST,/intercom/app-uninstall,routes/intercom.js,,,No
GET,/intercom/oauth-callback,routes/intercom.js,,,No
POST,/intercom/oauth-callback,routes/intercom.js,,,No
GET,/invites/:inviteToken,routes/invites.js,,,No
GET,/logs,routes/public-api.js,REST API,external,No
GET,/logs/api,routes/public-api.js,REST API,external,No
GET,/logs/webhooks,routes/public-api.js,REST API,external,No
POST,/meeting-tokens,routes/public-api.js,REST API,external,No
GET,/meeting-tokens/:token,routes/public-api.js,REST API,external,No
GET,/meetings,routes/public-api.js,REST API,external,No
GET,/new,app-server.js,EOL,,No
DELETE,/orgs/:org/user/:user,routes/orgs.js,dashboard,internal,No
POST,/orgs/:org/user/:user,routes/orgs.js,dashboard,internal,No
GET,/orgs/:org/users,routes/orgs.js,dashboard,internal,No
GET,/presence,routes/public-api.js,REST API,external,No
GET,/recordings,routes/public-api.js,REST API,external,No
GET,/recordings/:id,routes/public-api.js,REST API,external,No
DELETE,/recordings/:id,routes/public-api.js,REST API,external,No
GET,/recordings/:id/access-link,routes/public-api.js,REST API,external,No
GET,/recordings/:id/composites,routes/public-api.js,REST API,external,No
